license_plate,frame_number,model_id,color,category
9-30884,WAUWFAFR0AA486502,93608NWYHE,Indigo,motorcycle
15Y 823,1G6AH5S35F0997994,69035FZZMK,Aquamarine,motorcycle
IUM 377,WAUXL58E35A519741,48718CCRSJ,Pink,car
ORA-886,JHMZE2H52DS656570,81530MDQXF,Turquoise,track
226 0FR,WBSKG9C55DE397545,89750MWNEU,Green,motorcycle
FR0 2492,1G6DN57S740900474,29840EVFVM,Khaki,motorcycle
5Z 7I0WSV,2T2BK1BA9CC920200,14002KPACE,Teal,motorcycle
929-XJT,1G6DK5EG3A0700386,77217ASFFK,Orange,car
D 548591,1G6DM5ED8B0444599,17544BCCTL,Khaki,track
6-89908,WBAYF8C51ED198785,53430LBGSB,Violet,motorcycle
5OR T08,WA1CGBFE4CD054366,26215FUNML,Red,car
8SWU 92,WAUEFAFL4FA157543,88568FGBBK,Green,motorcycle
Q18 0AF,1C4SDJCT3FC056451,35636YSGBO,Turquoise,track
0S A1011,WAUSH74F67N045429,25464WPLFL,Khaki,motorcycle
VJY 943,1N6AA0CJXDN978873,34124DGLIB,Maroon,motorcycle
UDT 336,WBANB335X5C832845,62596JFYYZ,Teal,track
XKG-9136,1D4RE5GG4BC603675,58957MHLES,Maroon,car
7-Q9517,2G4WC562751300617,96699ZLXZH,Puce,motorcycle
574-AOZ,1C3CDFBB0FD621022,73053NCNHC,Red,car
GTB 435,WAUBNAFBXAN163586,56166TDASC,Maroon,track
0IB 803,WBALL5C59FP111121,93627VLEBL,Mauv,car
RFL-2957,3GYT4LEF4CG652999,68606YKXRE,Turquoise,car
M19-91N,1FTSX2A55AE142310,99911CRPDM,Puce,motorcycle
3QB45,1FTWW3DY5AE766060,38409WIKNY,Orange,track
0-Z0625,JTDKN3DP7E3883166,24420EITWE,Red,car
6127,3VW507AT7FM423491,04264CAJBV,Violet,motorcycle
YEA-468,JH4CW2H52DC211260,43058OCOIQ,Teal,motorcycle
6XX 116,3N1BC1AP1BL504454,39641ZUOIF,Crimson,track
4-46616N,WBABD33434J237432,97059ZMQPM,Goldenrod,motorcycle
9ZO P33,SCFEBBCF0CG984503,61651XANQI,Maroon,car
TBD-688,5NPDH4AE6EH465338,59215SXHHX,Teal,motorcycle
LJU S70,SCFEBBEL0DG333828,26638YQZKL,Pink,track
3-13562X,1D7CE2GK5AS521499,88149HIAOX,Mauv,track
623 5388,WA1YD64B05N310529,66764WWWJX,Violet,track
MAS-641,WAUVT58E72A427034,24888OHNWO,Goldenrod,track
FTF-8420,3D7TP2CT3BG705051,76134WVQWH,Indigo,car
Z44 3DF,3GYFNGE34DS312712,01816IQQXB,Mauv,track
SUR 995,WUALNAFG6EN952703,22460KMGLF,Crimson,track
7BP 881,WBAVB335X6P423660,34838ATQWJ,Fuscia,track
0B E6144,5UXWX9C51D0775896,26117IVOWV,Indigo,motorcycle
1BQ 169,W04GP5EC5B1796665,30270OTWAZ,Pink,track
370-AMF,2G4GP5EX7E9974628,80426XMFNQ,Goldenrod,car
75LM5,SCBBP93W59C164657,99443FNBMC,Green,car
NLB-4427,2C4RRGAGXDR260578,17938VKVHW,Fuscia,motorcycle
416 YTP,WBA3R5C58EF486551,21214JLXTG,Khaki,motorcycle
5K 8L0QYM,5N1AA0ND0FN916911,52316ODVUI,Aquamarine,track
7YM4070,JN1BJ0HR7EM069599,36354QYTKE,Teal,car
LNY3441,5FRYD3H21EB504286,98264UNIZW,Aquamarine,car
2-61359G,1G6DW67V290805938,40636CIOKK,Aquamarine,car
36D JT4,2HNYD28628H326332,38812NDHMB,Pink,car
ZZR 318,1GKS1AE00CR223082,90228VRHSD,Goldenrod,track
767 PJE,WBAAX13414P170544,11227TZKBE,Fuscia,track
QCY 464,JH4NA21653T740243,62216RPJRT,Goldenrod,track
OQE N74,3FADP4AJ6EM362291,51696DPHDB,Teal,track
74Y M17,JN1CV6FE8CM391032,77209FYEAY,Indigo,track
1S XY951,2G61R5S34F9428976,98366HVUNT,Pink,motorcycle
HSZ-6396,1G6DN57S540029428,96926WJPQG,Orange,car
XY1 2439,1GYFC26249R308023,96412CDNHL,Khaki,track
LYS 352,3N1AB7AP1FY832029,92659KLGRG,Aquamarine,motorcycle
26A W31,WAUVT58E75A049480,90327VJIXZ,Green,track
13I L66,3VW507ATXFM914900,97312OCMVK,Yellow,track
04-J541,WUARL48H99K142156,89496WYPEF,Purple,track
T99-KBC,3C6TD5JTXCG062309,18086MDFGS,Goldenrod,car
68-1035A,19UYA42431A095061,79597KCPEF,Purple,track
189 HFU,1G4HF5EM0AU612702,03760TBJHC,Orange,motorcycle
41CU041,3C3CFFDR8FT560243,98261WJIOX,Red,motorcycle
2C 67350,1G6KS54Y84U679453,74600EMJHG,Teal,motorcycle
28033,WAUJC68E74A340239,61812ZTTXW,Pink,car
8BMP479,JN8AE2KP0D9638895,22341UYFKA,Teal,car
GRE-025,19XFB4F28DE796675,69256QAEGN,Blue,car
1-L0164,1G6KS54YX2U312230,64195GRKOT,Pink,car
GDZ0926,WBSWL93548P874537,17985LGROF,Violet,motorcycle
2V139,WBAVA37588N345892,42516QUOZQ,Goldenrod,car
694 VZ3,YV1902MC3F1975659,79679IYBAE,Pink,track
4961 IV,TRUTC28NX31426458,98202NZZPA,Puce,car
WLQ-8090,1N6AF0LX3FN556968,81808MJGXE,Goldenrod,motorcycle
5UQ 943,2B3CA9CV0AH603356,41154DWFZS,Goldenrod,track
44-HC56,WAUEG74F76N182541,99586HDGOW,Puce,car
4WEJ 70,JN1BJ0HP7FM194120,04949HVCNU,Yellow,car
401AW,WBAGL634X2D449038,53378QJKHO,Teal,car
53-N511,1GYEC63888R648124,23451TJCEZ,Teal,car
LYP 869,WBAHN835X6D872355,62766JSYLC,Aquamarine,motorcycle
F08 4EV,1G4HG5EMXAU791568,66271XGYSA,Fuscia,track
LKB 959,3GTU2YEJ4DG705266,56414TXOMM,Turquoise,motorcycle
QB-6655,2C3CCAST8CH968563,91840ABVMY,Purple,car
THX 215,JH4CU2F66CC302063,35092HVVHN,Orange,car
5M DX778,WBA4B1C54FG647555,47106DGXAW,Yellow,motorcycle
2S 9Q8TCY,2C3CCASG6DH217367,90807DLJUO,Pink,track
1MUT 21,5NPDH4AE4FH126174,74669OTCAS,Blue,car
KGN 691,WBANE73576C708077,83458QDVDE,Red,car
96QA623,1G6AM5S39F0742955,08632RNFSU,Green,track
TIX-774,SALFP2BNXBH010381,12614ZCXKU,Maroon,motorcycle
ICQ 879,4T1BF3EK4BU998230,94575NAUET,Indigo,car
DUQ4085,3D7TT2HTXAG222059,10730DSLOA,Purple,track
JHM-238,1G4HR54K74U426392,15202DNKVY,Mauv,track
3VN45,JN1AZ4EH6FM592413,73312ULUTY,Turquoise,motorcycle
SZU 900,WA1CGBFE4CD077145,59647CBAND,Green,car
0UB5012,5UXFG8C5XBL895735,37467VPAWA,Crimson,track
225 JCO,1FTEW1CFXFF041698,60338HTOHB,Goldenrod,motorcycle
226 WWG,1G6AP5SX1F0831476,99103NUVEJ,Blue,motorcycle
75U V05,1C3BC1FB4BN012886,05760HYIEE,Yellow,track
CDC-924,JN8AS5MT9DW593607,38793DFDZW,Yellow,car
YW 21591,WAUKG94F86N026930,73286WMKRD,Puce,motorcycle
CBQ4730,JM1CR2W34A0816856,12633KZZMC,Blue,car
2K TJ446,5TFCY5F1XCX841564,73042PEHKW,Teal,motorcycle
LDC6930,5GAEV237X8J180848,71631FGPBA,Indigo,motorcycle
DST 217,1N6AD0CU6FN314669,98550RDWNQ,Puce,car
1DJ X06,WAUFGBFCXEN013963,67338SQJJE,Blue,motorcycle
RQQ 703,1FTEX1CM2BK088401,51518DIAML,Aquamarine,motorcycle
568 BOL,WBAKB83519C856912,01714QMQHX,Purple,motorcycle
NIP-6327,WBAPM7C50AE753046,58104HOATM,Puce,car
894KK,19UUA65595A554582,69829RLUQU,Red,car
BEE 770,1G6KD57Y59U657388,18821PMCLI,Green,car
XX8 T1G,WAUAFAFC4CN034716,69434QYOWH,Yellow,car
HCI 343,WDDEJ7GB2AA387087,93608NWYHE,Maroon,motorcycle
511 RWL,3D4PG5FV2AT938700,69035FZZMK,Goldenrod,motorcycle
15-HM06,1FTSX2A56AE396303,29840EVFVM,Pink,car
8-86297P,1HGCR2E70EA417044,64856ZCAXS,Orange,car
4AB0480,4A31K3DT9BE198570,17544BCCTL,Khaki,motorcycle
574 JIM,3N1AB6AP7CL028465,94539KOZBG,Maroon,motorcycle
7925 VH,JTHBK1GGXE2924919,53430LBGSB,Red,motorcycle
32N G07,2HNYD18202H170564,09569XHRII,Yellow,car
6PR 858,WA19FAFL6DA917046,09790NICKX,Red,motorcycle
672 5MR,W04GN5EC8B1494356,25464WPLFL,Indigo,motorcycle
HQF 124,WBAEK73425B151292,81271PUFQU,Maroon,motorcycle
661-IYN,WBAWL73588P614635,27608ETLDK,Blue,car
4SS 130,WAUBGBFC8CN620553,96699ZLXZH,Goldenrod,track
ALZ 108,WBA3B5C53EF560351,48748VTWRF,Green,motorcycle
82-ME02,4T3BA3BB8FU787287,36792DRGYA,Turquoise,car
820 6ND,WAUML44D92N638828,93627VLEBL,Turquoise,track
BTN-572,SCFAD02A75G131375,68436EWCFD,Turquoise,track
538-HLN,1GYS3HEF5DR192541,15304TERJH,Yellow,track
088-JED,5TFCY5F10CX565668,04264CAJBV,Yellow,motorcycle
5-C5151,WBAPN73589A699706,07764LBAXP,Puce,track
925 UXM,JH4DB75571S086212,26638YQZKL,Indigo,motorcycle
16K 993,JN1CV6AR8FM342959,88149HIAOX,Blue,motorcycle
544,KMHTC6ADXFU611840,22157EXBKO,Blue,track
PMY-3580,2T1BURHE9FC806841,66764WWWJX,Orange,track
WFT 351,3TMJU4GN5EM638878,18956MZLME,Red,car
0FUI 92,1GYFK46818R087062,54168EHJTJ,Teal,track
ENL-8366,1FTMF1C88AK040689,30270OTWAZ,Violet,motorcycle
4IZ R94,2C3CDZFJ5FH324804,02990FMDIG,Teal,car
85-9958S,4T1BD1FK6EU217883,77967BWOSE,Pink,motorcycle
52J Q78,1N6AF0LY7FN488490,21214JLXTG,Aquamarine,car
IUH-070,2C3CCAEG6EH203207,05712RDYPD,Blue,motorcycle
9OD7099,WA1LFBFP4EA863634,59209BOWWM,Green,car
IRJ4061,2G4WS52J851649401,38812NDHMB,Crimson,car
199 0QS,WBAYG6C54FD439824,11227TZKBE,Maroon,track
MGN 374,WBAPT73539C686632,68599NGPQV,Turquoise,track
984 WZZ,WBASN2C55CC824945,51696DPHDB,Fuscia,car
920 LGZ,1GYS4JKJ6FR113832,32507VMQCD,Khaki,track
IXG-3377,WAUAVAFD9BN110876,57372EXCNW,Crimson,car
GA 2048,2T2BK1BA9FC768908,96926WJPQG,Teal,motorcycle
HSS 135,WAULT68E52A167472,96412CDNHL,Khaki,track
5HKQ 97,WBASN2C57DC859715,41591FUGWU,Teal,car
H 717865,1G4GC5GGXAF961771,64439FBUIU,Puce,track
29W B12,1B3CB3HA1BD400782,46617WKRYE,Crimson,motorcycle
QKL-2115,1N4AL2AP6CN572089,59568WVYAE,Khaki,motorcycle
73-28679,1N6AA0EC5FN357302,87520JSKOK,Pink,track
2BE79,1G6DM5EY7B0015909,98261WJIOX,Goldenrod,track
3KJF834,1GYS3BKJXFR886540,91252GQRXA,Yellow,car
876 BMI,WBAEN33445E935911,74600EMJHG,Pink,motorcycle
JRG 190,2HNYD18644H795488,63662IFOJF,Teal,track
ZGU-170,5J8TB4H33DL263635,61446CYJBC,Fuscia,motorcycle
609 BEW,WA1MYBFE8AD630880,96167IROLX,Aquamarine,motorcycle
12-J856,WAUVFAFR0AA967569,69256QAEGN,Maroon,track
9V 0E7TFM,WAUKFAFL4BA217561,64195GRKOT,Blue,track
39-4352N,1G4HP54K04U379373,17571VNOGX,Crimson,motorcycle
729-ZOG,WAUAH94F38N440984,57227AUYBC,Fuscia,motorcycle
0CT E37,2T1BURHE1FC872574,17985LGROF,Purple,car
BA-8605,WBA5A7C59FG143609,42516QUOZQ,Teal,car
GD-2434,WBADS33422G233428,91168FCHXU,Indigo,motorcycle
MAE 821,1C3CDWEAXCD620748,28429ZCQES,Yellow,motorcycle
5JE6549,SCFEBBAK0DG668102,98084DMXQT,Puce,motorcycle
035DR,1C4RDHEG5FC054613,81808MJGXE,Khaki,motorcycle
EG6 T4J,WBAFR1C50BD569582,41154DWFZS,Crimson,track
MDN 148,WDDJK7DA4EF813085,60417RCEVK,Fuscia,track
427-AKK,WAUKD98P69A167373,15474YOVSW,Violet,motorcycle
685VJJ,5LMJJ2H51EE692883,68583ZYSKW,Violet,track
UX 6663,1G6AZ5SX7E0279216,33102PHOIM,Indigo,motorcycle
65-L073,WAUEF98E46A038615,88510XJWMX,Yellow,motorcycle
6M 8N4WZH,KMHGH4JHXDU316163,04949HVCNU,Blue,motorcycle
L76-44F,JN1CV6EK7EM315537,30907AMLTS,Khaki,track
6IX04,JHMZF1C61FS555577,51377UQXMC,Purple,motorcycle
YAI9366,5TDDK4CCXAS031537,49116MQVGU,Indigo,car
7I BO383,3D7LP2ET9BG037978,33720BJLTM,Pink,track
127 MOD,2G4WB52K331929183,63396QOWDA,Green,car
276 NHZ,WAUFFAFL0FA668316,72825NDMVB,Aquamarine,car
W39-HNO,WBA5M4C50ED378180,97482YMHVP,Red,car
0VR1058,WBAYM1C57ED452450,22404YMKJW,Indigo,motorcycle
D78-89Y,WAUVT58E55A797211,43080XPCVY,Puce,car
2X CH591,1G6DV1EP8F0057170,25562YBEZK,Indigo,motorcycle
X12-42Y,1N6BF0KM8FN923469,88501GNESF,Pink,motorcycle
HGW-0660,2G61N5S33E9531638,58526FDCYO,Maroon,track
MOK 536,TRUDD38J981275043,51094WUYQY,Mauv,track
577-UTK,JTDKN3DP0E3587373,10539ORYGN,Violet,track
YRD-6112,1FMEU7EE0AU403177,27011KAEQZ,Turquoise,motorcycle
780-107,2B3CJ5DT7AH609841,75474OOKVH,Crimson,track
921-NNIU,WUAW2BFC1EN302489,64621VPIRZ,Khaki,car
XVX-1687,JN8AF5MR7BT677920,30119DODWC,Violet,car
FS 4755,JA32U2FUXEU917612,47631HDOFH,Teal,motorcycle
886 FKO,JTEBU5JR1C5093556,54539UOJVL,Yellow,car
ISV 533,3D73M3HL8BG514247,61999TAPVB,Teal,motorcycle
495 ISP,2C3CDYCJ7EH327393,22749FVMPP,Yellow,motorcycle
743-KJS,WBA3A5C55CF333209,88961BJIGE,Pink,car
KKG 293,3D73M4HL2AG824009,52571YLJFU,Teal,car
8MB71,3VW8S7AT3FM120196,23451TJCEZ,Mauv,motorcycle
EPI4806,1G6KD57Y97U864637,34013MTQYK,Indigo,car
63-97656,2G4GZ5GV3B9782981,47957FTOBQ,Goldenrod,motorcycle
9GXK 13,WBAKB4C56BC658566,66271XGYSA,Blue,track
LM 24090,WBAUP3C59BV461044,37248SVQFP,Goldenrod,track
BHS-5622,WBAKP9C59FD056842,90881GOCUV,Mauv,motorcycle
NBQ-4863,WAUKD98P79A872778,51749SILVI,Green,car
9F F2690,1G6AB5RX5F0221844,01632YTQRY,Mauv,motorcycle
AOS-829,2G61N5S30F9505838,90807DLJUO,Maroon,car
177TCO,3D73M3CL5BG597658,12614ZCXKU,Puce,car
70C W31,WAUEH74F26N897174,11938CGKFN,Turquoise,track
2XY3473,JM1BL1L38D1004034,93631DXDQC,Red,car
1F 78928,WAULT58E75A392104,15202DNKVY,Orange,track
809 UBB,WAU4GAFB9BN467075,53938BPNVP,Khaki,track
WCI 038,KNDMG4C7XE6761314,34023FWZNL,Aquamarine,motorcycle
FOP-4832,19UUA56733A296521,56971JUPOT,Red,track
2401 DR,WDBWK5EA5BF885913,96500CPHGX,Puce,motorcycle
BHX 924,WBAUN1C59AV584819,27790KOSNK,Mauv,car
U98 6YR,SAJWA4EC5FM252119,63845HVNUO,Maroon,car
181 BFU,JA32U2FU1DU680345,53445WMUWS,Yellow,track
106 YIJ,W04GR5EC1B1675223,53501DTTML,Mauv,motorcycle
ADU-732,1G6DF5EY7B0012860,99103NUVEJ,Violet,motorcycle
68R•376,WAUJC58E83A234682,58150ECHGM,Red,car
I56 5DY,1FBSS3BL7AD648412,44246YGGDA,Fuscia,car
2R 88330,1N4AA5APXEC139672,62384EEUIG,Pink,car
60U Z91,1G6AE5SX6F0413159,12633KZZMC,Khaki,motorcycle
220-FIX,WBAVT13516K080882,73042PEHKW,Teal,car
84-WC27,3C6JR6CT8DG182249,79980VVMYB,Teal,track
800 PML,WAUVC58E35A387765,32382YAGEK,Maroon,track
9MI 839,1G6DK5E3XC0927817,31204PBPPA,Violet,car
302FBQ,2C4RDGBG6CR596580,64065XJOTH,Khaki,car
939 7924,WAUAH74F48N981515,71631FGPBA,Purple,car
3RX4731,WVWED7AJ0DW696825,67338SQJJE,Aquamarine,motorcycle
179LU,1FAHP2DW4AG012921,67182SLEUT,Orange,motorcycle
MXS 588,1G6DX67D990527253,69829RLUQU,Pink,motorcycle
794-XFB,WBAKG1C5XDJ664191,27879YNWWM,Pink,track
ORH 676,WBAPH73589E977312,89750MWNEU,Violet,track
802 FV7,WA1BY94L27D965174,29840EVFVM,Pink,motorcycle
281 PZZ,5N1AN0NW8EN689357,77217ASFFK,Goldenrod,motorcycle
7G 8649R,5N1AA0ND8FN403924,66847QIYAY,Crimson,track
ZXS5691,1GYS4CKJXFR572244,61532OTXET,Green,motorcycle
224 NGD,5TDBK3EH3DS542781,76371HDKVB,Indigo,car
YKH-6327,5N1BA0NE2FN718800,79258MWPGL,Red,motorcycle
107-VDR,WAUGL98EX8A244235,34124DGLIB,Goldenrod,track
7-J6658,JM1DE1KY9C0032574,27608ETLDK,Yellow,track
140-BAL,JTHBE5C20B5757618,22400QHOPO,Fuscia,motorcycle
6DN G71,5GAKVCED4CJ849815,28302GONOA,Aquamarine,motorcycle
575 VZ6,2G4GU5GV7C9903611,96719TNKCJ,Maroon,track
94-DW79,WBAEJ13413A078399,08928BWYJT,Maroon,car
EEF 010,KL4CJHSB1EB436868,48748VTWRF,Turquoise,car
3FW8336,3C63DPNL3CG054073,36792DRGYA,Fuscia,motorcycle
22-R524,WBAKE5C53CE338737,56166TDASC,Purple,track
2652 XG,WBAAV33431F173805,91086FMREO,Crimson,track
226 QZB,WBAYP9C50FD131938,99911CRPDM,Crimson,motorcycle
241 RCC,WBA3A9C58FF156652,24420EITWE,Crimson,track
7NE W68,1N6AA0CJ1EN820262,15304TERJH,Mauv,track
6QY I45,1GYS3EEJ2DR357836,04264CAJBV,Yellow,car
ZYP 005,1G6AJ1RX1F0284418,97059ZMQPM,Goldenrod,motorcycle
GEX4534,3D73M4EL5BG616910,59215SXHHX,Goldenrod,track
MGS 805,WAUAFAFH4CN425523,19710KVIIA,Green,car
6D363,WBAEV33414P963717,61895CJJUJ,Orange,motorcycle
VE0 P9A,3FA6P0SU4FR254797,26638YQZKL,Crimson,car
829-221,19UUA66246A672657,86098ZUNMR,Crimson,motorcycle
304 HPU,2G4GL5EX0F9494573,93438LYKFO,Goldenrod,motorcycle
1NT N25,KNAFK4A6XF5884049,01816IQQXB,Crimson,motorcycle
7-29887,3GYFK52239G950453,22460KMGLF,Yellow,track
GDB 326,JN8AF5MR1BT990025,34838ATQWJ,Orange,car
HRA 075,WAUMGAFLXAA771465,26117IVOWV,Teal,track
08E RK3,WA1YD64B64N755016,54168EHJTJ,Violet,car
814 9RX,WAULT58EX5A670171,80426XMFNQ,Khaki,track
775-LAO,WAUDH94F28N717041,99443FNBMC,Aquamarine,car
6PM3715,JH4DC548X6S556012,77967BWOSE,Crimson,car
463 4811,WAUNF98P37A752058,21214JLXTG,Puce,car
SLF-681,SCFBF04B28G580679,05712RDYPD,Goldenrod,car
WCM 529,WBAAN37491N621593,59209BOWWM,Red,track
4JT Q75,1VWAP7A37EC606268,86489LGGLR,Indigo,track
964 IP3,5N1AN0NW2EN016306,40064ONBBL,Pink,track
YQE3024,3VW517AT4EM847125,62216RPJRT,Crimson,track
4Q D4822,KM8JT3AF3EU074217,27952AFDKS,Indigo,car
04Z 2157,JTHBF5C25D5107358,32507VMQCD,Turquoise,track
H96 7QF,WA1VMBFE1AD547355,57372EXCNW,Puce,car
QBV C27,JH4CU2F86DC441869,77209FYEAY,Crimson,motorcycle
HSH 428,JN8AS5MT1AW345380,96412CDNHL,Red,motorcycle
I61 6TY,19XFB2F56EE899710,79597KCPEF,Crimson,motorcycle
TV2 2438,1N6AA0CC2EN843745,59568WVYAE,Green,motorcycle
8V 7131S,1FTWW3A58AE972435,90148LJONU,Green,car
7B 77677,5UMCN93412L079094,74600EMJHG,Puce,track
5HGH 47,1N6BF0KL7FN818347,63662IFOJF,Teal,car
879-UCD,5TDBK3EH2DS558146,50487BOUSJ,Fuscia,track
MDV-5677,YV4902BZ0C1670075,22341UYFKA,Maroon,motorcycle
732-WLK,JH4CU2F68EC780925,31154MILFA,Orange,motorcycle
3LZR577,WAUBVAFA6AN419276,17571VNOGX,Khaki,car
9Z 1026N,1YVHZ8BH0A5530171,26549MRDPI,Maroon,car
ULI-9187,5TFBY5F11AX123524,17985LGROF,Indigo,track
580-XRQ,5J6TF1H39CL762823,36970UEOWD,Puce,track
UOS 611,WAUWFAFL8CA551840,79679IYBAE,Purple,track
NXN2628,5UXFB53564L765936,28429ZCQES,Purple,car
4O 96624,1G6DN57P790978255,90007HVZZC,Indigo,track
GZD-0194,WBA4C9C53FD767683,81808MJGXE,Orange,track
5-B4621,WBA3N3C55FF063038,41154DWFZS,Aquamarine,motorcycle
F47-ZQW,4T1BK3DB8AU921727,11492FUWAO,Khaki,motorcycle
741 1KT,WAUVC68E45A658807,68583ZYSKW,Yellow,motorcycle
82-94022,WBAKG1C50CJ075018,99586HDGOW,Puce,car
OHP 597,JM1CW2BL5C0136739,33102PHOIM,Violet,car
QUO 439,19XFA1E69AE780177,70447EUQNV,Puce,car
6WUL 89,KL4CJFSB1FB046858,88510XJWMX,Mauv,car
LIK-145,WAUBF78E77A148745,04949HVCNU,Aquamarine,track
9-5756R,WBAEN33493E880823,30907AMLTS,Teal,motorcycle
8NE 465,WAUDFAFL0FN642380,10519ECDXP,Fuscia,track
W99 1LZ,5N1AA0NC0FN141775,24362GAAMP,Goldenrod,motorcycle
51KH4,5XYKT3A64EG285291,71475FWVQK,Yellow,track
7113 FH,WAUDG98E05A085499,76895SOEJY,Teal,track
3IN S20,1N6BF0KLXFN420517,72825NDMVB,Blue,motorcycle
185 8AV,WUARL48H78K868905,35898LSIFX,Violet,motorcycle
TQ5 8063,1N6AA0CH5FN080326,35134XPIWK,Indigo,car
KXX 551,1GKS2GEJ3CR229130,55526YCNNL,Teal,motorcycle
OAB 115,2B3CM5CT3BH703077,94067FKYKZ,Yellow,car
OPT-567,1D7RW3GK1BS847508,43080XPCVY,Maroon,track
XR 37057,WAUJC68E35A795297,25562YBEZK,Puce,motorcycle
SEJ 2186,SCBZB25EX2C065587,88501GNESF,Mauv,motorcycle
09-CG69,KNDMG4C79B6726596,58526FDCYO,Pink,motorcycle
5-3602I,WAU4GAFB9AN292406,27011KAEQZ,Turquoise,motorcycle
U47-ZFZ,WAUSH78EX8A041930,75474OOKVH,Blue,car
IZQ 3134,WAUVT68E82A489127,47957FTOBQ,Goldenrod,motorcycle
264-FFN,1FBAX2CM2FK452346,62766JSYLC,Goldenrod,car
42U E17,WAUVVAFR6AA969376,01113NKLFK,Mauv,motorcycle
6V272,JM1NC2SF7F0341463,66271XGYSA,Crimson,car
51F B29,JTEBU5JR6B5079151,37248SVQFP,Green,car
998 UEB,WBAYF8C58FD054037,56414TXOMM,Teal,track
F57-DQU,WDDLJ6HBXFA404953,96905DGNXV,Red,car
WFV 438,JHMGE8G20AC691888,02228NOJUO,Purple,car
7NV 317,3D73Y4CL4BG593952,18796ERGBK,Orange,track
AIT 625,2T1BURHEXEC294165,90881GOCUV,Pink,motorcycle
12G 734,2G4WD582791572164,92744LJUVI,Red,car
VB 8529,1G6DV57V380242278,51749SILVI,Aquamarine,car
4K089,3C6LD5ATXCG893955,35092HVVHN,Maroon,track
OX-1985,JTDBT4K38A1912210,84468GNBMX,Orange,track
XDR 244,1FTKR1AD2BP706318,01632YTQRY,Puce,track
900-ZHA,KL4CJESB7DB654441,74669OTCAS,Khaki,track
0F 6036O,JN8AZ1MU9CW964728,60202OATAC,Teal,car
7401 UA,JTHBE5C25D5281207,08632RNFSU,Blue,motorcycle
ZVT-099,2T2BK1BA1CC379031,10730DSLOA,Violet,motorcycle
