model_id,model,first_release,brand,price
97059ZMQPM,Grand Prix,1975,Pontiac,72713
61651XANQI,ES,1994,Lexus,167226
59215SXHHX,Corvette,1961,Chevrolet,404072
19710KVIIA,Fusion,2008,Ford,343967
61895CJJUJ,XC90,2013,Volvo,435773
07764LBAXP,Range Rover Sport,2009,Land Rover,420687
26516PSQAC,XT,1985,Subaru,425227
26638YQZKL,S10 Blazer,1992,Chevrolet,407435
88149HIAOX,Ranger,1998,Ford,498299
22157EXBKO,Prizm,1995,Geo,151654
90187SQARJ,Brat,1987,Subaru,16425
30260LXSQG,Gran Sport,2006,Maserati,274826
86098ZUNMR,Tercel,1997,Toyota,422527
66764WWWJX,L-Series,2001,Saturn,43942
80404UNYAY,Esperante,2007,Panoz,473840
08844VWKAR,XLR,2009,Cadillac,7969
93438LYKFO,CX,1974,Citroën,221597
24888OHNWO,Sedona,2004,Kia,213867
76134WVQWH,Savana 1500,2005,GMC,163061
66483RELJD,Sonic,2012,Chevrolet,140814
01816IQQXB,V8 Vantage,2009,Aston Martin,437532
22460KMGLF,Cressida,1992,Toyota,435782
73414MLVAY,Regal,1998,Buick,101013
34838ATQWJ,Prowler,1999,Plymouth,174758
26117IVOWV,1500,1996,GMC,89706
18956MZLME,2500,2012,Ram,379096
03012EEHXC,Passat,2001,Volkswagen,75712
41072FNGJX,Sentra,2010,Nissan,398301
54168EHJTJ,Town & Country,2003,Chrysler,205228
30270OTWAZ,Brougham,1992,Cadillac,46090
02990FMDIG,Spider,1992,Alfa Romeo,234620
80426XMFNQ,Escort ZX2,2003,Ford,106479
99443FNBMC,Voyager,1994,Plymouth,446874
46067GSLFZ,Chariot,1992,Mitsubishi,314958
77967BWOSE,Corvette,2003,Chevrolet,43765
17938VKVHW,California,2010,Ferrari,26518
21214JLXTG,QX,2005,Infiniti,219590
05712RDYPD,MR2,1995,Toyota,88251
59209BOWWM,QX,2004,Infiniti,425508
52316ODVUI,Ion,2005,Saturn,273318
36354QYTKE,Econoline E250,1995,Ford,18862
98264UNIZW,LS,2009,Lexus,172018
40636CIOKK,LR2,2010,Land Rover,357263
38812NDHMB,C70,1999,Volvo,274035
90228VRHSD,650,2006,BMW,136259
11227TZKBE,Cobalt,2007,Chevrolet,225878
86489LGGLR,Maxima,2011,Nissan,36445
40064ONBBL,Escape,2013,Ford,221325
68599NGPQV,XK,2012,Jaguar,100964
62216RPJRT,Legacy,1998,Subaru,340729
51696DPHDB,Continental,1992,Lincoln,147084
13805BGLCX,LS,2009,Lexus,142831
30324SIUIM,Fusion,2008,Ford,305728
27952AFDKS,Grand Prix,1967,Pontiac,255511
82986VJCKO,Villager,1993,Mercury,29043
32507VMQCD,Escalade ESV,2006,Cadillac,132154
57372EXCNW,Tacoma,2010,Toyota,249662
65719NVUNR,Yukon XL 2500,2010,GMC,166204
77209FYEAY,Grand Prix,1986,Pontiac,401777
98366HVUNT,Escort,1986,Ford,89926
96926WJPQG,Murano,2007,Nissan,242611
60508FPBTK,C8,2006,Spyker,351016
96412CDNHL,Esteem,1999,Suzuki,89326
41591FUGWU,XC60,2011,Volvo,434673
92659KLGRG,Pathfinder,2006,Nissan,116194
90323WJNEJ,Corvette,1968,Chevrolet,66796
64439FBUIU,Mazda6,2011,Mazda,43799
90327VJIXZ,5000S,1988,Audi,279640
97312OCMVK,FX,2010,Infiniti,319721
89496WYPEF,Odyssey,1996,Honda,414429
46617WKRYE,Pilot,2012,Honda,224625
14709DXNZN,Explorer Sport,2003,Ford,311337
18086MDFGS,Passat,1991,Volkswagen,374868
79597KCPEF,B-Series,2003,Mazda,370167
49046RWQRA,F150,2012,Ford,80454
59568WVYAE,Rendezvous,2007,Buick,372630
87520JSKOK,Vibe,2009,Pontiac,447404
03760TBJHC,Fortwo,2012,Smart,132752
98261WJIOX,Regal,1987,Buick,237640
90148LJONU,Grand Caravan,1994,Dodge,411794
91252GQRXA,XK Series,1999,Jaguar,414603
74600EMJHG,X3,2005,BMW,146024
08402WNPSZ,Sienna,2003,Toyota,320842
63662IFOJF,Diamante,2004,Mitsubishi,15598
61812ZTTXW,G35,2007,Infiniti,458037
50487BOUSJ,Tundra,2005,Toyota,457792
61446CYJBC,F250,1984,Ford,358621
22341UYFKA,Courier,1986,Ford,100833
96167IROLX,330,2006,BMW,263808
69256QAEGN,3-Sep,2012,Saab,82266
94189TSEVP,Montero Sport,1997,Mitsubishi,41249
64195GRKOT,Cayenne,2009,Porsche,487677
13893BSZNE,Cougar,1995,Mercury,458449
11280NIIMM,MKS,2012,Lincoln,211247
31154MILFA,Accent,2005,Hyundai,402522
54774CYHDL,Swift,2000,Suzuki,392764
17571VNOGX,Protege,2003,Mazda,66843
26549MRDPI,Sequoia,2012,Toyota,80408
57227AUYBC,MR2,1992,Toyota,59524
17985LGROF,CR-V,1997,Honda,129888
04580SGTWO,GranTurismo,2012,Maserati,76434
66576OBXWU,Express 1500,1999,Chevrolet,78448
42516QUOZQ,Fit,2009,Honda,458943
36970UEOWD,Swift,1998,Suzuki,19485
79679IYBAE,Frontier,2002,Nissan,101852
91168FCHXU,V8 Vantage S,2012,Aston Martin,216141
34970FMAHF,3 Series,2010,BMW,53037
98202NZZPA,Yukon,2008,GMC,123513
28429ZCQES,T100 Xtra,1996,Toyota,365234
90007HVZZC,Aurora,1998,Oldsmobile,15440
98084DMXQT,5 Series,2006,BMW,166604
65799IZDMX,Corvette,1988,Chevrolet,13891
81808MJGXE,Elise,2004,Lotus,248716
41154DWFZS,Allante,1992,Cadillac,3671
27601ACGVR,Sidekick,1992,Suzuki,107944
60417RCEVK,LX,2009,Lexus,301947
18394GHJXY,Murciélago,2008,Lamborghini,270804
15474YOVSW,Golf III,1995,Volkswagen,345434
11492FUWAO,VUE,2007,Saturn,209895
28617NGTFX,G8,2009,Pontiac,69669
68583ZYSKW,F-Series,1985,Ford,368455
99586HDGOW,6000,1987,Pontiac,200177
33102PHOIM,Murciélago,2006,Lamborghini,126303
70447EUQNV,ZDX,2012,Acura,377342
88510XJWMX,Grand Cherokee,2004,Jeep,493742
82191KQKGZ,Tribeca,2008,Subaru,95175
04949HVCNU,i-290,2007,Isuzu,415495
42152KRUMN,Venza,2013,Toyota,482653
30907AMLTS,X6 M,2013,BMW,123757
10519ECDXP,Silverado 1500,2004,Chevrolet,382162
51377UQXMC,Explorer,1995,Ford,130073
06475DZHFU,Mustang,1973,Ford,212504
24362GAAMP,Crown Victoria,1998,Ford,445145
49116MQVGU,Rapide,2012,Aston Martin,387040
45188BVVQQ,3500,1997,GMC,159372
66675VNMUO,9000,1996,Saab,360425
71475FWVQK,2500,1998,Chevrolet,289203
76895SOEJY,XC90,2012,Volvo,335846
33720BJLTM,Suburban 1500,1992,Chevrolet,330586
63396QOWDA,Tribute,2003,Mazda,441030
46712WLLKG,Cutlass,1998,Oldsmobile,330355
72825NDMVB,Sebring,2002,Chrysler,492720
09892OETEV,Focus,2001,Ford,86179
97482YMHVP,164,1993,Alfa Romeo,467247
00326DAIRN,EXP,1986,Ford,432629
35898LSIFX,Escalade ESV,2004,Cadillac,289482
35134XPIWK,SC,1995,Lexus,236064
80899WSCNJ,Spirit,1995,Dodge,62132
55526YCNNL,Galant,1995,Mitsubishi,469196
22404YMKJW,Silhouette,1998,Oldsmobile,148255
94067FKYKZ,Grand Marquis,1985,Mercury,210309
43080XPCVY,Sierra 3500,2009,GMC,367520
25562YBEZK,Prelude,1995,Honda,17790
82668RTLKW,Civic,1985,Honda,211811
88501GNESF,Grand Prix,1974,Pontiac,125619
58526FDCYO,Ram 2500 Club,1995,Dodge,127749
36743TPMKI,ES,1999,Lexus,210764
51094WUYQY,F350,1996,Ford,488571
01828EUPTT,F250,2002,Ford,39780
10539ORYGN,Countryman,2012,MINI,355989
27011KAEQZ,Outback,2012,Subaru,201098
79311ODKCP,Thunderbird,1955,Ford,152736
56969KTUUU,Uplander,2007,Chevrolet,90855
75474OOKVH,Diamante,1994,Mitsubishi,187862
64621VPIRZ,Astra,2008,Saturn,382433
35559LFPRG,Maxima,1998,Nissan,176461
30119DODWC,Town & Country,1994,Chrysler,467289
47631HDOFH,626,1991,Mazda,454290
59610LNZOM,Mustang,2010,Ford,121095
92057NUFNZ,Daewoo Kalos,2005,Pontiac,48568
54539UOJVL,Rainier,2004,Buick,479870
69224NNZRT,Cavalier,2002,Chevrolet,99917
61999TAPVB,LeSabre,1995,Buick,284224
22749FVMPP,F350,1996,Ford,475297
15029HWKFE,Lumina,1998,Chevrolet,482270
81729JDGVG,Maxima,2009,Nissan,493390
38031LDJQK,DBS,2011,Aston Martin,404447
71674XHSXT,Suburban 1500,2002,Chevrolet,371799
80880WASYK,Monte Carlo,1995,Chevrolet,156554
47026MNXPV,Jetta,1985,Volkswagen,207005
47837RJVPW,Lancer,2005,Mitsubishi,72367
45520BPZBR,Tracer,1989,Mercury,438227
03292MOARD,Murano,2004,Nissan,293409
72108DPSJV,Festiva,1991,Ford,454152
64156CFSHL,Accord,1997,Honda,297501
09492YYWYI,4Runner,1996,Toyota,7004
74442LFLSP,Eclipse,1997,Mitsubishi,171742
18880OUCPV,Parisienne,1985,Pontiac,460019
36626BPCEG,Tracker,2004,Chevrolet,29719
48664ODVNQ,S2000,2002,Honda,362639
53112CWCXE,Mirage,1997,Mitsubishi,179994
41575MFRIQ,F-Series,2007,Ford,83252
58029OUURY,Avalon,1995,Toyota,9198
28401AOLZC,Wrangler,1997,Jeep,180539
10494AJMSP,Legacy,1997,Subaru,433817
65211ONPGA,Suburban 2500,2008,Chevrolet,363400
06072LQONZ,Envoy,2002,GMC,214490
14727CKDRT,Tundra,2000,Toyota,40032
74490MHLPB,Neon,1995,Plymouth,33473
86571YHSLU,Sierra 3500,2001,GMC,348067
83937OILKE,CLK-Class,2006,Mercedes-Benz,258198
69419XNWXX,Tracker,1994,Geo,128707
20659JUCNS,Yukon XL 1500,2007,GMC,396729
52430LKBSQ,Crosstour,2012,Honda,463745
62072JHOYG,Baja,2006,Subaru,369245
49033MRMAT,Quest,1999,Nissan,191379
31082BLAHM,W201,1985,Mercedes-Benz,465925
76617VKMAM,Sonata,2001,Hyundai,475550
10521XJCDA,Vanagon,1984,Volkswagen,63771
82496ZBJRE,Breeze,2000,Plymouth,159272
79979XAZPE,Prowler,2000,Plymouth,254960
53472SDJWW,Swift,2006,Suzuki,109548
57733MKQSQ,Outlander,2003,Mitsubishi,322511
93947BDOGV,Aurora,1998,Oldsmobile,269946
51523SDAJE,Jimmy,1994,GMC,197823
82537WTZYP,Shadow,1993,Dodge,203479
11061SFMMW,Grand Prix,1980,Pontiac,361764
05906UZZPF,LeSabre,1988,Buick,46697
46539LYRXI,Stylus,1992,Isuzu,195844
47517EWAIY,Aztek,2004,Pontiac,294054
71326LACBS,Pajero,1987,Mitsubishi,122359
78629PMKEO,Viper,2003,Dodge,317979
46015TXAUG,E-Class,1995,Mercedes-Benz,370027
14091QUTGZ,XLR,2006,Cadillac,285034
00941KIDBB,Blazer,1995,Chevrolet,407211
83973RDTLI,Ram 1500 Club,1997,Dodge,114817
58502YSVVQ,Grand Marquis,1989,Mercury,471597
37325WUWCL,Vision,1995,Eagle,134882
96144AFWOD,Allroad,2002,Audi,284630
34680FDDBU,DBS,2009,Aston Martin,363957
94538WKLCH,Swift,1999,Suzuki,456837
24195WGEJF,Mighty Max Macro,1994,Mitsubishi,48518
52900NWKYV,Prowler,2001,Chrysler,288048
58347SEHDB,Range Rover,1989,Land Rover,155141
83999OYQSN,Sidekick,1993,Suzuki,383560
18412REKOD,Sportage,1998,Kia,290511
09915IKGIG,GX,2009,Lexus,364204
95877NATAE,Accord,2012,Honda,68868
31260HPYRL,Monte Carlo,2002,Chevrolet,395679
99160KKWVG,PT Cruiser,2004,Chrysler,63385
34986JCITJ,Explorer Sport Trac,2000,Ford,410359
77518MYLDH,Escape,2009,Ford,357803
82870DZBTI,Mazda3,2004,Mazda,97715
98153DYFMZ,Paseo,1995,Toyota,337927
09304JJUWR,900,1999,Saab,73780
91671TODMF,Challenger,2002,Mitsubishi,201344
51465ZXUYJ,Rainier,2007,Buick,342966
53132PQROL,Tracker,1994,Geo,159162
29362AHQZD,5 Series,1992,BMW,327734
26200NBWJO,HHR,2009,Chevrolet,479846
39677EVEGE,Alcyone SVX,1993,Subaru,408008
66565JHAGP,Fusion,2011,Ford,81636
35448RVDHZ,M-Class,2006,Mercedes-Benz,482451
93843KMOAD,Econoline E250,1992,Ford,432149
80374WPTPY,Spyder,2003,Maserati,350076
61422DMBIC,Park Avenue,2001,Buick,136325
87942BYXHB,XT,1987,Subaru,72344
89439OWUVU,Murciélago,2006,Lamborghini,475271
04374ZSZIP,Daewoo Lacetti,2008,Suzuki,85627
30013PKDXA,Truck,1985,Mitsubishi,260055
56309HISCX,Solara,2002,Toyota,163498
94147ATZUE,SL-Class,1987,Mercedes-Benz,184629
77658NTBTH,V50,2011,Volvo,105153
21950KIGTH,Avenger,2008,Dodge,255470
70570FNGOV,LR2,2011,Land Rover,201733
59963VFYHX,Taurus,1992,Ford,340568
92487JWUEG,Quattroporte,2006,Maserati,482173
82410LKJHF,Suburban 2500,2007,Chevrolet,192262
92253FOXTE,Esprit,1992,Lotus,235117
08564GQKAI,Caravan,2003,Dodge,450229
16778EJYYT,Sidekick,1997,Suzuki,362722
50708ESFTL,Rapide,2012,Aston Martin,156587
64552UQITZ,A6,1998,Audi,43167
75880NRECW,911,1989,Porsche,28071
74017ZDXOP,E-Series,1988,Ford,276891
80101CTIGA,Swift,1995,Suzuki,468519
37406KLDAN,S10,1993,Chevrolet,353074
80464ZDVOD,Tempo,1993,Ford,155095
92569WZHKG,Ram 3500,2004,Dodge,160417
13436FAYAP,STS,2009,Cadillac,16882
98450DCQIU,Quattroporte,2010,Maserati,238403
13733CJKRF,Savana 2500,2010,GMC,326729
98263ZJICO,Tacoma,2012,Toyota,201069
98968BULEO,Sienna,2008,Toyota,38740
02306WJFXH,Ranger,1987,Ford,280265
17194OAYYQ,V40,2002,Volvo,269664
28697GIODY,Rio,2012,Kia,218204
17551ZXQKZ,SLK-Class,1998,Mercedes-Benz,62788
01319DFOCJ,RX-8,2006,Mazda,253636
93102WFJNJ,Accord,1994,Honda,457763
57676PBBLV,Explorer,1996,Ford,49033
55419TJGXI,Sebring,2002,Chrysler,226399
55417FUBNB,Grand Marquis,1994,Mercury,494949
67317PIYJD,Justy,1990,Subaru,218329
26803CTNGL,Maxima,1996,Nissan,398381
23777HOIMK,Lanos,1999,Daewoo,26507
72667JALEE,LHS,1996,Chrysler,155961
50972LKOCT,Ram 1500,1999,Dodge,364503
39148EJXGV,Grand Prix,1979,Pontiac,388508
90579QPEGR,Yukon,2001,GMC,185498
18438VEIDE,62,2012,Maybach,254850
59291JBSJQ,Taurus,2013,Ford,177797
50408NXCJX,F250,2001,Ford,159575
26824UZGUJ,300CE,1993,Mercedes-Benz,444915
05140HTMJJ,Esteem,1996,Suzuki,124450
94464MSAXV,Mazda6 5-Door,2006,Mazda,113945
96001XYMYP,Range Rover,1996,Land Rover,276526
55065SCYZO,S80,2004,Volvo,398558
75666EFYKA,Tacoma,2000,Toyota,172599
98326ZKMZO,E250,1984,Ford,207290
44780FKATF,Corolla,2010,Toyota,397419
78573IHAYW,Fit,2008,Honda,412659
50873UBMSV,Mark VIII,1996,Lincoln,275161
18135BKPVC,Aerostar,1996,Ford,295953
28730BKJRK,1 Series,2008,BMW,115763
17986NROLX,Milan,2006,Mercury,281330
57358EKBAB,EX,2008,Infiniti,119381
25472UHQOE,RX,2001,Lexus,314365
58593EAZGE,Montero Sport,1998,Mitsubishi,297078
77769MQJGK,Highlander,2006,Toyota,17435
79511VXFUL,Diamante,1998,Mitsubishi,214581
86855IIXOC,Econoline E350,1993,Ford,497971
66244NOEIP,911,1999,Porsche,290663
16974RKOGH,B-Series,1991,Mazda,102979
00623ICIPY,Ram,1994,Dodge,109800
36047JUMTB,B-Series,1988,Mazda,185917
34239JUNRC,Outlander,2004,Mitsubishi,404503
63899BWVPJ,Tundra,2005,Toyota,16577
87170HHSYK,Echo,2001,Toyota,363718
98635KZUXV,S4,2013,Audi,374278
91306FJDJZ,A4,2007,Audi,164337
81619OLIUU,Rendezvous,2007,Buick,335767
41022ABHPN,Tiburon,2009,Hyundai,139257
82952SWWYB,Malibu,2011,Chevrolet,237278
20335FWKOI,V40,2003,Volvo,226921
89274NGSJE,riolet,1996,Audi,175046
54204QZSNS,Venza,2012,Toyota,282793
52164GWZTU,Eurovan,2001,Volkswagen,448533
83911ZYYOH,E-Series,2011,Ford,406441
26240TNOYF,GS,2001,Lexus,494025
99839RRPNB,900,1988,Saab,124643
90413GAUBU,Range Rover,2007,Land Rover,114939
27029TUQLW,Sentra,2007,Nissan,455393
25524AJAKA,Grand Prix,1984,Pontiac,212786
56621PFUBS,Torrent,2008,Pontiac,105452
04519UHVQH,Century,1986,Buick,170467
43706EMVJG,Type 2,1991,Volkswagen,400849
09882LPMIL,Camry Solara,2006,Toyota,327429
93557WKWLF,Type 2,1989,Volkswagen,15818
90776QDDMI,Town Car,2004,Lincoln,45298
03344EGFIT,Samurai,1994,Suzuki,96250
46411LNRKV,Cherokee,1992,Jeep,174410
66589PNIBD,CLK-Class,2007,Mercedes-Benz,473263
14170LFHSA,911,1986,Porsche,93772
47352OLVTL,MKS,2009,Lincoln,99521
35399XCDWG,Azure,2007,Bentley,50979
17988EJTCY,Yukon Denali,2000,GMC,461975
32032FPCDD,Passport,1994,Honda,99459
61832VAZAO,Corolla,2004,Toyota,10502
33254LIUXG,Dakota,2000,Dodge,63701
87060TFBDM,Oasis,1998,Isuzu,310340
03007FRWZD,Paseo,1995,Toyota,346133
37010HTFYL,5000CS Quattro,1986,Audi,287706
39796JKVDC,LR3,2005,Land Rover,484199
33153ALSOR,Legend,1987,Acura,390061
30934ZWLPT,LR3,2006,Land Rover,283308
65736IBGFY,Pilot,2007,Honda,457876
66312DEYWY,V70,2006,Volvo,357920
88965WXSEE,Grand Vitara,1999,Suzuki,251484
94051JCNCB,Legend,1993,Acura,216129
18450GUDZW,IS-F,2011,Lexus,395141
87665MRIVK,Quattroporte,2005,Maserati,166685
33593KGPER,Ciera,1992,Oldsmobile,412990
43805YNLBP,1500,1995,GMC,42417
97448WZVNJ,H3T,2010,Hummer,102435
20647OPAOV,Starion,1986,Mitsubishi,186151
84443RWKCH,Intrepid,2001,Dodge,454365
36668HAIQP,ES,2000,Lexus,297980
99578WWEXL,Suburban 2500,1994,Chevrolet,388853
19016JTDLH,Suburban 2500,2011,Chevrolet,389646
55010OIDFH,E-Class,2011,Mercedes-Benz,424091
24521OZZBS,Odyssey,1996,Honda,80355
44308QTPJZ,M5,2006,BMW,294054
60593TQLIM,Accord,2004,Honda,32340
01532WCVPV,Spectra,2002,Kia,310614
75226PRUSX,Mazda3,2010,Mazda,379962
52032JSAZF,Cougar,1985,Mercury,159554
72996JOBDT,G,2005,Infiniti,176621
04078OCXVT,Mustang,1984,Ford,356261
90422GVMZI,Savana 2500,2002,GMC,279085
97818FHCGA,Ram 1500,1999,Dodge,380995
92975UZUWZ,Q5,2011,Audi,126869
20484SKCBE,Mazda6 Sport,2006,Mazda,255081
64925ECKCD,Express 1500,2011,Chevrolet,421331
38280IVXFM,Stratus,1999,Dodge,112125
56381OFLJL,62,2007,Maybach,306554
88922FXPGI,Impala,2002,Chevrolet,354532
58864XQAMD,Rally Wagon G3500,1996,GMC,394491
87832GQOTF,Crossfire,2005,Chrysler,77946
08250ZNHWB,LTD Crown Victoria,1989,Ford,458095
83412ADYMM,Accord,1991,Honda,283949
33791YJCAG,Milan,2007,Mercury,360628
18156SWSFR,Azure T,2010,Bentley,68987
51981IPUCX,DBS,2010,Aston Martin,106150
88059FEYKS,Sprinter,2010,Mercedes-Benz,233047
